flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft,flight.codeshared,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,B8,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Zurich,Europe/Zurich,ZRH,LSZH,2,,,2026-06-15T08:15:00+00:00,,,,,,Swiss,LX,SWR,9001,LX9001,SWR9001,singapore airlines,sq,sia,346,sq346,sia346,,,,76CEF1,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,4,G19,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,225,5,2026-06-15T08:50:00+00:00,,,,,,MIAT Mongolian Airlines,OM,MGL,6232,OM6232,MGL6232,korean air,ke,kal,646,ke646,kal646,,,,71BA03,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,4,G19,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,225,5,2026-06-15T08:50:00+00:00,,,,,,WestJet,WS,WJA,6030,WS6030,WJA6030,korean air,ke,kal,646,ke646,kal646,,,,71BA03,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,4,G19,,2026-06-15T01:25:00+00:00,2026-06-15T01:25:00+00:00,,,,Seoul (Incheon),Asia/Seoul,ICN,RKSI,2,225,5,2026-06-15T08:50:00+00:00,,,,,,Delta Air Lines,DL,DAL,7822,DL7822,DAL7822,korean air,ke,kal,646,ke646,kal646,,,,71BA03,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F41,,2026-06-15T01:20:00+00:00,2026-06-15T01:20:00+00:00,,,,Fukuoka,Asia/Tokyo,FUK,RJFF,I,,,2026-06-15T08:20:00+00:00,,,,,,All Nippon Airways,NH,ANA,6270,NH6270,ANA6270,singapore airlines,sq,sia,656,sq656,sia656,,,,,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F41,,2026-06-15T01:20:00+00:00,2026-06-15T01:20:00+00:00,,,,Fukuoka,Asia/Tokyo,FUK,RJFF,I,,,2026-06-15T08:20:00+00:00,,,,,,Air India,AI,AIC,8156,AI8156,AIC8156,singapore airlines,sq,sia,656,sq656,sia656,,,,,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F59,,2026-06-15T01:20:00+00:00,2026-06-15T01:20:00+00:00,,,,Chu-Bu Centrair International (Central Japan International),Asia/Tokyo,NGO,RJGG,1,,,2026-06-15T09:00:00+00:00,,,,,,All Nippon Airways,NH,ANA,6268,NH6268,ANA6268,singapore airlines,sq,sia,672,sq672,sia672,,,,,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,2,F59,,2026-06-15T01:20:00+00:00,2026-06-15T01:20:00+00:00,,,,Chu-Bu Centrair International (Central Japan International),Asia/Tokyo,NGO,RJGG,1,,,2026-06-15T09:00:00+00:00,,,,,,Air India,AI,AIC,8216,AI8216,AIC8216,singapore airlines,sq,sia,672,sq672,sia672,,,,,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D41,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,"Athens International Airport ""Eleftherios Venizelos""",Europe/Athens,ATH,LGAV,,,01,2026-06-15T07:45:00+00:00,,,,,,Singapore Airlines,SQ,SIA,8562,SQ8562,SIA8562,scoot,tr,tgw,50,tr50,tgw50,,,,76BCC8,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-15T06:10:00+00:00,,,,,,South African Airways,SA,SAA,7231,SA7231,SAA7231,singapore airlines,sq,sia,478,sq478,sia478,,,,76CDB5,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-15T06:10:00+00:00,,,,,,Asiana Airlines,OZ,AAR,6792,OZ6792,AAR6792,singapore airlines,sq,sia,478,sq478,sia478,,,,76CDB5,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-15T06:10:00+00:00,,,,,,Air New Zealand,NZ,ANZ,3278,NZ3278,ANZ3278,singapore airlines,sq,sia,478,sq478,sia478,,,,76CDB5,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-15T06:10:00+00:00,,,,,,All Nippon Airways,NH,ANA,6274,NH6274,ANA6274,singapore airlines,sq,sia,478,sq478,sia478,,,,76CDB5,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A14,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Oliver Reginald Tambo International (Jan Smuts International),Africa/Johannesburg,JNB,FAOR,A,,,2026-06-15T06:10:00+00:00,,,,,,Malaysia Airlines,MH,MAS,5764,MH5764,MAS5764,singapore airlines,sq,sia,478,sq478,sia478,,,,76CDB5,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,1,D49,,2026-06-15T01:15:00+00:00,2026-06-15T01:15:00+00:00,,,,Jinan,Asia/Shanghai,TNA,ZSJN,,,,2026-06-15T07:10:00+00:00,,,,,,Air China,CA,CCA,8864,CA8864,CCA8864,shandong airlines,sc,cdg,8062,sc8062,cdg8062,,,,,,,,,,,,,,
2026-06-15,active,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,A16,,2026-06-15T01:10:00+00:00,2026-06-15T01:10:00+00:00,,,,Beijing Capital International,Asia/Shanghai,PEK,ZBAA,3,,38,2026-06-15T07:15:00+00:00,,,,,,Virgin Australia,VA,VOZ,5780,VA5780,VOZ5780,singapore airlines,sq,sia,800,sq800,sia800,,,,,,,,,,,,,,
