flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,Oman Air,WY,OMA,6133,WY6133,OMA6133,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,British Airways,BA,BAW,6392,BA6392,BAW6392,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,Virgin Australia,VA,VOZ,6287,VA6287,VOZ6287,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,Jomo Kenyatta International,Africa/Nairobi,NBO,HKJK,1A,,,2026-06-29T01:20:00+00:00,2026-06-29T01:20:00+00:00,,,,Doha International,Asia/Qatar,DOH,OTHH,,,7,2026-06-29T06:25:00+00:00,,,,,,Finnair,AY,FIN,6040,AY6040,FIN6040,,,,,,qatar airways,qr,qtr,1342,qr1342,qtr1342,,,,,,,,,
2026-06-29,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,A7A,,2026-06-29T01:00:00+00:00,2026-06-29T01:00:00+00:00,,,,King Khaled International,Asia/Riyadh,RUH,OERK,4,,,2026-06-29T02:45:00+00:00,,,,,,Alitalia,AZ,AZA,5398,AZ5398,AZA5398,,,,,71011F,saudia,sv,sva,1056,sv1056,sva1056,,,,,,,,,
2026-06-29,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,,2026-06-29T01:00:00+00:00,2026-06-29T01:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2026-06-29T15:30:00+00:00,,,,,,Vietnam Airlines,VN,HVN,3290,VN3290,HVN3290,,,,,7105AE,saudia,sv,sva,856,sv856,sva856,,,,,,,,,
2026-06-29,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,,,2026-06-29T01:00:00+00:00,2026-06-29T01:00:00+00:00,,,,Singapore Changi,Asia/Singapore,SIN,WSSS,3,,,2026-06-29T15:30:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9918,GA9918,GIA9918,,,,,7105AE,saudia,sv,sva,856,sv856,sva856,,,,,,,,,
2026-06-29,scheduled,,King Abdulaziz International,Asia/Riyadh,JED,OEJN,1,A42A,,2026-06-29T01:00:00+00:00,2026-06-29T01:00:00+00:00,,,,Mohamed V,Africa/Casablanca,CMN,GMMN,2,,,2026-06-29T05:40:00+00:00,,,,,,Garuda Indonesia,GA,GIA,9658,GA9658,GIA9658,,,,,71011E,saudia,sv,sva,377,sv377,sva377,,,,,,,,,
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,2,,2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,,,,Ube,Asia/Tokyo,UBJ,RJDC,,,,2026-06-29T09:00:00+00:00,,,,,,All Nippon Airways,NH,ANA,3811,NH3811,ANA3811,,,,,,starflyer,7g,sfj,11,7g11,sfj11,,,,,,,,,
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,7,,2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,,,,Naha,Asia/Tokyo,OKA,ROAH,D,,,2026-06-29T10:00:00+00:00,,,,,,China Airlines,CI,CAL,8363,CI8363,CAL8363,,,,,,jet linx aviation,jl,jtl,903,jl903,jtl903,,,,,,,,,
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,7,,2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,,,,Naha,Asia/Tokyo,OKA,ROAH,D,,,2026-06-29T10:00:00+00:00,,,,,,Qatar Airways,QR,QTR,6075,QR6075,QTR6075,,,,,,jet linx aviation,jl,jtl,903,jl903,jtl903,,,,,,,,,
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,7,,2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,,,,Naha,Asia/Tokyo,OKA,ROAH,D,,,2026-06-29T10:00:00+00:00,,,,,,AlphaSky,AS,JAG,7523,AS7523,JAG7523,,,,,,jet linx aviation,jl,jtl,903,jl903,jtl903,,,,,,,,,
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,17,,2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-06-29T08:35:00+00:00,,,,,,Qantas,QF,QFA,3542,QF3542,QFA3542,,,,,,jet linx aviation,jl,jtl,221,jl221,jtl221,,,,,,,,,
2026-06-29,scheduled,,Haneda Airport,Asia/Tokyo,HND,RJTT,1,17,,2026-06-29T07:20:00+00:00,2026-06-29T07:20:00+00:00,,,,Kansai International,Asia/Tokyo,KIX,RJBB,1,,,2026-06-29T08:35:00+00:00,,,,,,AlphaSky,AS,JAG,7479,AS7479,JAG7479,,,,,,jet linx aviation,jl,jtl,221,jl221,jtl221,,,,,,,,,
